Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Daniel Amartey,Leicester,28,Defender,9,641,2.0,1.7777777777777777,0.6666666666666666,0.2222222222222222,2.7777777777777777,0.5555555555555556,0.4444444444444444,6.694444444444446
André-Frank Zambo Anguissa,Fulham,27,Midfielder,22,1519,2.1818181818181817,1.5454545454545454,1.0454545454545454,0.09090909090909091,1.3181818181818181,1.5454545454545454,0.2727272727272727,6.690000000000001
David Button,Brighton,34,Goalkeeper,4,360,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.6899999999999995
Ben Davies,Tottenham,30,Defender,27,1839,2.074074074074074,0.8518518518518519,0.6666666666666666,0.2962962962962963,2.2962962962962963,0.5925925925925926,0.37037037037037035,6.689629629629629
Bruno Ecuele Manga,Cardiff,35,Defender,38,3374,1.8157894736842106,2.1315789473684212,0.39473684210526316,0.2894736842105263,4.5,0.7631578947368421,0.7368421052631579,6.687105263157896
Jack Wilshere,West Ham,31,Midfielder,8,389,0.875,0.875,0.875,0.0,0.0,0.5,0.125,6.6825
Bernd Leno,Arsenal,31,Goalkeeper,32,2833,0.0,0.125,0.0,0.0,1.0,0.09375,0.0,6.682187499999999
Antonio Valencia,Man Utd,38,Defender,6,466,1.3333333333333333,0.8333333333333334,1.1666666666666667,0.0,1.0,0.16666666666666666,0.0,6.68
Victor Lindelöf,Man Utd,29,Defender,30,2602,1.3333333333333333,0.8,0.6333333333333333,0.6666666666666666,3.933333333333333,0.3333333333333333,0.4,6.679333333333335
Pascal Groß,Brighton,32,Midfielder,25,1878,1.08,0.52,0.44,0.0,0.88,1.0,0.32,6.678
Aaron Cresswell,West Ham,33,Defender,20,1591,1.45,1.15,0.1,0.35,2.1,0.6,0.35,6.677499999999999
Marc Albrighton,Leicester,33,Midfielder,27,1627,1.3333333333333333,0.8518518518518519,0.37037037037037035,0.037037037037037035,0.8888888888888888,0.6666666666666666,0.1111111111111111,6.6751851851851844
Chris Wood,Burnley,31,Forward,38,2596,0.3157894736842105,0.07894736842105263,0.6842105263157895,0.0,0.6842105263157895,0.3157894736842105,0.10526315789473684,6.673421052631579
